timestamp,visitorid,event,itemid,transactionid
1433194913145,177270,view,136969,
1433191198089,121688,view,272926,
1434683529169,478518,addtocart,120336,
1434331404043,391399,addtocart,25974,
1433201337091,69363,view,2011,
1433218017547,163636,view,111514,
1439950993196,861299,transaction,133404,17037.0
1440175833012,152963,transaction,21728,549.0
1434483346347,835691,addtocart,156466,
1433190868393,856874,view,357585,
1434524044257,801554,transaction,221833,10174.0
1441256488811,1363612,transaction,194562,2417.0
1433172951383,153977,view,232824,
1433183810814,76291,view,67770,
1433222409338,506289,view,131383,
1433178227479,1261991,view,71602,
1433160123175,1304836,view,338826,
1434328810127,810252,addtocart,190534,
1433948943707,1366154,transaction,422964,14024.0
1433178891346,282229,view,191803,
1433198511162,647273,view,165691,
1433181358260,531661,view,399491,
1433217647910,239740,view,145907,
1433217975442,384057,view,14572,
1438986681847,152963,transaction,213306,3887.0
1433197937032,1324486,view,373894,
1433138914745,1373843,view,48881,
1433180304852,288040,view,152260,
1433208034825,820327,view,299038,
1434561487552,939785,addtocart,279090,
1433174194288,1377271,view,36810,
1433645086278,622889,addtocart,422481,
1434055384373,967290,addtocart,205049,
1433220833735,833280,view,245127,
1433187303161,1167561,view,282746,
1440296125944,244756,transaction,428272,8470.0
1434052920223,1174334,addtocart,175246,
1433441070559,1367601,transaction,318333,8914.0
1433185420092,80056,addtocart,166100,
1433190739857,1020579,view,407940,
1433178639302,1037371,view,135479,
1440635125713,899857,transaction,168611,11187.0
1434299673464,609832,addtocart,107155,
1433195069313,1244353,view,302948,
1434521014979,1332712,addtocart,415124,
1435009855464,1150086,transaction,434838,1713.0
1433188674221,139737,view,280375,
1435440961257,21712,transaction,153874,13359.0
1433212854827,1046017,view,232897,
1435631162561,836635,transaction,95981,677.0
1434672797273,138131,transaction,369158,6070.0
1434046550769,1276807,addtocart,275541,
1433608505647,873252,addtocart,14214,
1434133583707,371604,addtocart,384470,
1433191525859,941024,view,36810,
1433207642110,349060,view,42277,
1434686276388,244853,transaction,199018,6713.0
1433985544801,577262,addtocart,159555,
1438559896086,530559,transaction,294419,17452.0
1433186399638,145284,view,405484,
1434578331048,204831,addtocart,361734,
1433787268983,868057,addtocart,166129,
1433270912764,805204,addtocart,271268,
1441328530738,883745,transaction,26008,8559.0
1439917725643,530559,transaction,405577,4932.0
1434659142281,509343,addtocart,204080,
1433210207917,204334,view,443103,
1434403991902,90352,addtocart,425758,
1440425286334,552123,transaction,74144,13456.0
1433214704895,90969,view,228884,
1435212214185,1102940,transaction,170262,12741.0
1433181613382,666425,view,300566,
1433192568467,886864,view,76196,
1435702964975,909547,transaction,118440,314.0
1433179784271,1382344,view,57642,
1433184257324,1365567,view,198674,
1435283841267,969827,transaction,427128,17573.0
1433197241495,12768,view,100296,
1441132033236,1216153,transaction,441668,7899.0
1433807845789,927359,addtocart,312728,
1433196723916,485219,view,51862,
1438879854813,792208,transaction,331910,9611.0
1434408032626,1161163,transaction,119736,12992.0
1433181890543,166283,view,344388,
1434418356793,303244,addtocart,260878,
1434154712526,460601,transaction,64852,7216.0
1433389480792,240675,addtocart,267871,
1438622364949,388182,transaction,211243,17409.0
1440716713167,725439,transaction,239514,12768.0
1433188707222,1128436,view,360682,
1433187243371,952211,view,96127,
1433196103330,557863,view,273786,
1433220196354,227868,view,8198,
1433189552350,467409,view,427619,
1433193793047,87057,view,454846,
1433354956431,933310,transaction,247307,2476.0
1433800394480,91271,addtocart,198780,
1433179543597,322407,view,260957,
1441172726304,205453,transaction,375938,781.0
1433222365385,975530,view,55555,
1433212029325,261102,view,261582,
1433745655441,630803,addtocart,432184,
1433222183961,1138470,view,197466,
1433180801470,146980,view,413990,
1435619470048,883069,transaction,375894,12509.0
1433218876021,1238871,view,70387,
1433390031650,973367,addtocart,124780,
1433663361497,34598,addtocart,410001,
1435608837868,344688,transaction,4117,6665.0
1433192901157,950703,view,198620,
1434122446290,575675,addtocart,233439,
1433221959076,985892,view,183702,
1434563111594,995343,addtocart,155427,
1434393777807,1377960,addtocart,102891,
1439426353224,301189,transaction,257040,9957.0
1433510555091,279237,addtocart,110954,
1433175807488,300863,view,163709,
1439775182986,1219705,transaction,138427,17554.0
1439325902846,26032,transaction,19912,10768.0
1433138783496,266414,view,399031,
1433193931985,219839,view,64193,
1433178375933,1181558,view,333317,
1433365411517,566009,transaction,187719,14366.0
1433191710812,121688,view,80582,
1433202224270,585946,view,125906,
1434650196080,1167457,transaction,410587,2110.0
1434680151137,445406,addtocart,400946,
1434326586179,410385,transaction,316753,16174.0
1433218901300,957260,view,399031,
1433393829151,523878,addtocart,127969,
1433197482357,957194,view,87970,
1440458322130,152963,transaction,202920,1756.0
1434478241569,1066883,transaction,212438,12669.0
1434000587670,1044965,addtocart,292444,
1433219320017,8860,view,421297,
1433371155122,142139,addtocart,339545,
